Test date	Product name	Brand	Testing for	Result (ppb)
8/18/2016	dried licorice powder	golden lion	cadmium	130
8/18/2016	tumeric	golden flower	cadmium	20.4
8/22/2016	african spices		cadmium	81.7
8/19/2016	curry powder	breens market	cadmium	68.4
8/19/2016	chicken rub seasoning	emeril's	cadmium	60.6
8/19/2016	curry powder	badia	cadmium	128
8/19/2016	adobo seasoning	badia	cadmium	none
8/23/2016	ground turmeric	mimi's products	cadmium	none
8/23/2016	turmeric powder	caribbean blue	cadmium	18.4
8/25/2016	tumeric powder	best taste brand	cadmium	539
8/29/2016	turmeric powder	trong food	cadmium	41.5
8/29/2016	fennel powder	crown	cadmium	54.5
8/29/2016	five spice powder	crown	cadmium	380
8/25/2016	dried five spice powder	golden lion	cadmium	112
8/29/2016	curry powder	maya	cadmium	62.5
8/29/2016	chilli powder	swad	cadmium	113
9/8/2016	fish curry masala	mdh	cadmium	49.7
9/8/2016	liver curry spice mix	tooba	cadmium	46.3
9/12/2016	turmeric powder	radhuni	cadmium	71.3
9/12/2016	curry powder	radhuni	cadmium	64.3
9/12/2016	chilli powder	radhuni	cadmium	54.1
9/12/2016	javanti powder (mace)	shad usa	cadmium	39.6
9/12/2016	yellow mustard powder	shad	cadmium	133
9/12/2016	turmeric powder	radhuni	cadmium	68.7
9/13/2016	african red hot pepper	adom	cadmium	39.9
9/12/2016	turmeric powder	asian boy (e.b.q.)	cadmium	194
9/13/2016	dried chilli crush	dragonfly	cadmium	74.6
9/13/2016	turmeric powder	dragonfly	cadmium	77.0
9/13/2016	turmeric powder	vianco	cadmium	262
9/13/2016	turmeric powder	shan	cadmium	63.7
9/13/2016	chilli powder	national	cadmium	71.1
9/13/2016	chilli powder	keshav	cadmium	77.4
9/13/2016	star aniseed powder	ying feng food	cadmium	182
9/15/2016	paprika	valu time	cadmium	50.7
10/4/2016	ground annatto	mi pepito	cadmium	72.1
10/3/2016	garlic powder	caribbean blue	cadmium	48.6
10/5/2016	turmeric powder	casablanca	cadmium	none
10/5/2016	ground cumin	salma	cadmium	71.4
10/5/2016	ground cumin	casablanca	cadmium	69.3
10/5/2016	turmeric powder	salma	cadmium	none
10/5/2016	curry powder	casablanca	cadmium	22.4
10/5/2016	hot red pepper	salma	cadmium	109
10/5/2016	hot chilli pepper	casablanca	cadmium	117
10/5/2016	paprika powder (pimenton)	salma	cadmium	52.2
10/5/2016	paprika powder (pimenton)	casablanca	cadmium	56.7
10/11/2016	piquin molido (ground red	don elio	cadmium	96.1
10/5/2016	el capitan bbq rub	greenpoint	cadmium	49.9
10/5/2016	mean gator cajun	greenpoint	cadmium	45.6
10/12/2016	spice mix for dal curry	shan	cadmium	29.4
10/18/2016	chicken seasoning	blue mountain	cadmium	50.7
10/20/2016	meat seasoning	blue mountain	cadmium	none
10/20/2016	adobo all purpose	blue mountain	cadmium	none
10/17/2016	jamaican curry powder	blue mountain	cadmium	28.6
10/17/2016	hot jamaican curry powder	blue mountain	cadmium	none found
10/17/2016	curry powder	chief	cadmium	193
10/20/2016	javentri powder	swad	cadmium	58.6
10/20/2016	javentri powder	swad	cadmium	63.6
