Test date	Product name	Brand	Testing for	Result (ppb)
9/12/2016	turmeric powder	asian boy (e.b.q.)	arsenic	59.5
9/13/2016	dried chilli crush	dragonfly	arsenic	27.2
9/13/2016	turmeric powder	dragonfly	arsenic	785
9/13/2016	turmeric powder	vianco	arsenic	36.6
9/13/2016	turmeric powder	shan	arsenic	198
9/13/2016	chilli powder	national	arsenic	76.3
9/13/2016	chilli powder	keshav	arsenic	70.7
9/13/2016	star aniseed powder	ying feng food	arsenic	571
9/15/2016	paprika	valu time	arsenic	135
10/4/2016	ground annatto	mi pepito	arsenic	101
10/3/2016	garlic powder	caribbean blue	arsenic	54.9
10/5/2016	turmeric powder	casablanca	arsenic	none
10/5/2016	ground cumin	salma	arsenic	1250
10/5/2016	ground cumin	casablanca	arsenic	1100
10/5/2016	turmeric powder	salma	arsenic	none
10/5/2016	curry powder	casablanca	arsenic	117
10/5/2016	hot red pepper	salma	arsenic	290
10/5/2016	hot chilli pepper	casablanca	arsenic	333
10/5/2016	paprika powder (pimenton)	salma	arsenic	168
10/5/2016	paprika powder (pimenton)	casablanca	arsenic	203
10/11/2016	piquin molido (ground red	don elio	arsenic	137
10/5/2016	el capitan bbq rub	greenpoint	arsenic	109
10/5/2016	mean gator cajun	greenpoint	arsenic	83.3
10/12/2016	spice mix for dal curry	shan	arsenic	68.6
10/18/2016	chicken seasoning	blue mountain	arsenic	32.0
10/20/2016	meat seasoning	blue mountain	arsenic	none
10/20/2016	adobo all purpose	blue mountain	arsenic	54.3
10/17/2016	jamaican curry powder	blue mountain	arsenic	none found
10/17/2016	hot jamaican curry powder	blue mountain	arsenic	none found
10/17/2016	curry powder	chief	arsenic	34.8
10/20/2016	javentri powder	swad	arsenic	96.9
10/20/2016	javentri powder	swad	arsenic	97.9
10/25/2016	turmeric powder	peck's market	arsenic	19.5
10/25/2016	spanish paprika	peck's market	arsenic	102
10/26/2016	star anise (whole)	szechuans	arsenic	51.9
10/26/2016	sophora japonica l	green day	arsenic	67.2
11/2/2016	chili powder (spice mix)	market pantry	arsenic	107
11/1/2016	ground red pepper	k. sabor	arsenic	25.6
11/1/2016	ground cumin	k. sabor	arsenic	29.9
11/8/2016	pashupati lapsi powder		arsenic	179
11/8/2016	prabhu timur sichuan		arsenic	46.4
11/14/2016	soul seasoning	mimi's products	arsenic	33.2
11/14/2016	turmeric	spice islands	arsenic	none found
11/14/2016	turmeric	simply organic	arsenic	38.4
11/15/2016	bot nghe turmeric powder	lucky eight	arsenic	28.8
11/22/2016	curry powder	breen's market	arsenic	28.9
11/21/2016	paprika powder	key food	arsenic	245
11/28/2016	extra hot chilli powder	maya	arsenic	none found
11/30/2016	curry powder	spice supreme	arsenic	127
12/5/2016	hot curry powder	bolst's	arsenic	29.6
12/5/2016	tumeric powder	deer	arsenic	30.6
12/5/2016	tumeric root	america's best	arsenic	none
